Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,AR Roles,GL Roles,AP Roles,In AR,In GL,In AP
GAP,Email Subscription,setup/emailsubscriptionsetup,setup/emailsubscriptionsetup,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/emailsubscriptionsetup,AR Manager - Payments Admin,,,Yes,No,No
GAP,Find Adjustment Batch,armanager/adjustmentbatchsearch,armanager/adjustmentbatchsearch,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/adjustmentbatchsearch,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Find Charge Batch,charge/component,charge/component | charge/findchargebatch,ARManagera13NET,"ARManagera13NET, glmanagernet",/armanagera13net/content2/charge/component,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,GL Manager,,Yes,Yes,No
GAP,Find Journal Batch,journalcomponent/findjournalbatch,journalcomponent/findjournalbatch,glmanagernet,glmanagernet,/glmanagernet/journalcomponent/findjournalbatch,,GL Manager,,No,Yes,No
GAP,Find Journal Batches,journalcomponent/findjournalbatch,journalcomponent/findjournalbatch,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/journalcomponent/findjournalbatch,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Global Setup,app.billpay.globalsetup,app.billpay.globalsetup | billpay/globalsetup,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/globalsetup,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,GPR Configuration,gprconfiguration,gprconfiguration,glmanagernet,glmanagernet,/glmanagernet/content2/gprconfiguration,,GL Manager,,No,Yes,No
GAP,IC Billing Template,icbilling/reviewicbilling,icbilling/reviewicbilling,glmanagernet,glmanagernet,/glmanagernet/content2/icbilling/reviewicbilling,,GL Manager,,No,Yes,No
GAP,Journal Display Type,je/reviewdisplaytype,je/reviewdisplaytype,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/JE/reviewdisplaytype,,GL Manager,,No,Yes,No
GAP,Late Fees,latefees,latefees,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Marketplace,app.marketplace,app.marketplace | marketplace,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/marketplace,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Multiple Payee,app.billpay.multiplepayeesetup,app.billpay.multiplepayeesetup | billpay/multiplepayeesetup,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/multiplepayeesetup,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Non-Recoverable JE,taxrecovery/nonrecoverableje,taxrecovery/nonrecoverableje,glmanagernet,glmanagernet,/glmanagernet/content2/taxrecovery/nonrecoverableje,,GL Manager,,No,Yes,No
GAP,NSF Checks,checkscan/nsfchecks,checkscan/nsfchecks,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/checkscan/nsfchecks,AR Manager - Payments Admin,,,Yes,No,No
GAP,Pay Interest,payinterest,payinterest,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Payers,tenant/list,tenant/list,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tenant/list,AR Manager; AR Manager - ACA; AR Manager - ACA Admin; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
